inference_nstep,month,finite_loglik_increment,state_in_box,minimum_filtered_state,maximum_filtered_state,maximum_absolute_filtered_state
1,1,True,False,-1.1872860356261214,1.5552376717082268,1.5552376717082268
1,2,True,False,-41.59949710711228,33.58085303461416,41.59949710711228
1,3,True,False,-1024.6776716912407,659.3816514574346,1024.6776716912407
1,4,True,False,-3736080.4853393175,3747841.3976365253,3747841.3976365253
1,5,True,False,-4.4916152891695963e+24,4.4916152891702787e+24,4.4916152891702787e+24
1,6,True,False,-2.7971798912619853e+97,2.7971798912619853e+97,2.7971798912619853e+97
1,7,False,False,,,
1,8,False,False,,,
1,9,False,False,,,
1,10,False,False,,,
1,11,False,False,,,
1,12,False,False,,,
1,13,False,False,,,
1,14,False,False,,,
1,15,False,False,,,
1,16,False,False,,,
1,17,False,False,,,
1,18,False,False,,,
1,19,False,False,,,
1,20,False,False,,,
1,21,False,False,,,
1,22,False,False,,,
1,23,False,False,,,
1,24,False,False,,,
1,25,False,False,,,
1,26,False,False,,,
1,27,False,False,,,
1,28,False,False,,,
1,29,False,False,,,
1,30,False,False,,,
1,31,False,False,,,
1,32,False,False,,,
1,33,False,False,,,
1,34,False,False,,,
1,35,False,False,,,
1,36,False,False,,,
1,37,False,False,,,
1,38,False,False,,,
1,39,False,False,,,
1,40,False,False,,,
1,41,False,False,,,
1,42,False,False,,,
1,43,False,False,,,
1,44,False,False,,,
1,45,False,False,,,
1,46,False,False,,,
1,47,False,False,,,
1,48,False,False,,,
1,49,False,False,,,
1,50,False,False,,,
1,51,False,False,,,
1,52,False,False,,,
1,53,False,False,,,
1,54,False,False,,,
1,55,False,False,,,
1,56,False,False,,,
1,57,False,False,,,
1,58,False,False,,,
1,59,False,False,,,
1,60,False,False,,,
1,61,False,False,,,
1,62,False,False,,,
1,63,False,False,,,
1,64,False,False,,,
1,65,False,False,,,
1,66,False,False,,,
1,67,False,False,,,
1,68,False,False,,,
1,69,False,False,,,
1,70,False,False,,,
1,71,False,False,,,
1,72,False,False,,,
1,73,False,False,,,
1,74,False,False,,,
1,75,False,False,,,
1,76,False,False,,,
1,77,False,False,,,
1,78,False,False,,,
1,79,False,False,,,
1,80,False,False,,,
1,81,False,False,,,
1,82,False,False,,,
1,83,False,False,,,
1,84,False,False,,,
1,85,False,False,,,
1,86,False,False,,,
1,87,False,False,,,
1,88,False,False,,,
1,89,False,False,,,
1,90,False,False,,,
1,91,False,False,,,
1,92,False,False,,,
1,93,False,False,,,
1,94,False,False,,,
1,95,False,False,,,
1,96,False,False,,,
1,97,False,False,,,
1,98,False,False,,,
1,99,False,False,,,
1,100,False,False,,,
1,101,False,False,,,
1,102,False,False,,,
1,103,False,False,,,
1,104,False,False,,,
1,105,False,False,,,
1,106,False,False,,,
1,107,False,False,,,
1,108,False,False,,,
1,109,False,False,,,
1,110,False,False,,,
1,111,False,False,,,
1,112,False,False,,,
1,113,False,False,,,
1,114,False,False,,,
1,115,False,False,,,
1,116,False,False,,,
1,117,False,False,,,
1,118,False,False,,,
1,119,False,False,,,
1,120,False,False,,,
1,121,False,False,,,
1,122,False,False,,,
1,123,False,False,,,
1,124,False,False,,,
1,125,False,False,,,
1,126,False,False,,,
1,127,False,False,,,
1,128,False,False,,,
1,129,False,False,,,
1,130,False,False,,,
1,131,False,False,,,
1,132,False,False,,,
1,133,False,False,,,
1,134,False,False,,,
1,135,False,False,,,
1,136,False,False,,,
1,137,False,False,,,
1,138,False,False,,,
1,139,False,False,,,
1,140,False,False,,,
1,141,False,False,,,
1,142,False,False,,,
1,143,False,False,,,
1,144,False,False,,,
1,145,False,False,,,
1,146,False,False,,,
1,147,False,False,,,
1,148,False,False,,,
1,149,False,False,,,
1,150,False,False,,,
1,151,False,False,,,
1,152,False,False,,,
1,153,False,False,,,
1,154,False,False,,,
1,155,False,False,,,
1,156,False,False,,,
1,157,False,False,,,
1,158,False,False,,,
1,159,False,False,,,
1,160,False,False,,,
1,161,False,False,,,
1,162,False,False,,,
1,163,False,False,,,
1,164,False,False,,,
1,165,False,False,,,
1,166,False,False,,,
1,167,False,False,,,
1,168,False,False,,,
1,169,False,False,,,
1,170,False,False,,,
1,171,False,False,,,
1,172,False,False,,,
1,173,False,False,,,
1,174,False,False,,,
1,175,False,False,,,
1,176,False,False,,,
1,177,False,False,,,
1,178,False,False,,,
1,179,False,False,,,
1,180,False,False,,,
1,181,False,False,,,
1,182,False,False,,,
1,183,False,False,,,
1,184,False,False,,,
1,185,False,False,,,
1,186,False,False,,,
1,187,False,False,,,
1,188,False,False,,,
1,189,False,False,,,
1,190,False,False,,,
1,191,False,False,,,
1,192,False,False,,,
1,193,False,False,,,
1,194,False,False,,,
1,195,False,False,,,
1,196,False,False,,,
1,197,False,False,,,
1,198,False,False,,,
1,199,False,False,,,
1,200,False,False,,,
1,201,False,False,,,
1,202,False,False,,,
1,203,False,False,,,
1,204,False,False,,,
1,205,False,False,,,
1,206,False,False,,,
1,207,False,False,,,
1,208,False,False,,,
1,209,False,False,,,
1,210,False,False,,,
1,211,False,False,,,
1,212,False,False,,,
1,213,False,False,,,
1,214,False,False,,,
1,215,False,False,,,
1,216,False,False,,,
1,217,False,False,,,
1,218,False,False,,,
1,219,False,False,,,
1,220,False,False,,,
1,221,False,False,,,
1,222,False,False,,,
1,223,False,False,,,
1,224,False,False,,,
1,225,False,False,,,
1,226,False,False,,,
1,227,False,False,,,
1,228,False,False,,,
1,229,False,False,,,
1,230,False,False,,,
1,231,False,False,,,
1,232,False,False,,,
1,233,False,False,,,
1,234,False,False,,,
1,235,False,False,,,
1,236,False,False,,,
1,237,False,False,,,
1,238,False,False,,,
1,239,False,False,,,
1,240,False,False,,,
1,241,False,False,,,
1,242,False,False,,,
1,243,False,False,,,
1,244,False,False,,,
1,245,False,False,,,
1,246,False,False,,,
1,247,False,False,,,
1,248,False,False,,,
1,249,False,False,,,
1,250,False,False,,,
1,251,False,False,,,
1,252,False,False,,,
1,253,False,False,,,
1,254,False,False,,,
1,255,False,False,,,
1,256,False,False,,,
1,257,False,False,,,
1,258,False,False,,,
1,259,False,False,,,
1,260,False,False,,,
1,261,False,False,,,
1,262,False,False,,,
1,263,False,False,,,
1,264,False,False,,,
1,265,False,False,,,
1,266,False,False,,,
1,267,False,False,,,
1,268,False,False,,,
1,269,False,False,,,
1,270,False,False,,,
1,271,False,False,,,
1,272,False,False,,,
1,273,False,False,,,
1,274,False,False,,,
1,275,False,False,,,
1,276,False,False,,,
1,277,False,False,,,
1,278,False,False,,,
1,279,False,False,,,
1,280,False,False,,,
1,281,False,False,,,
1,282,False,False,,,
1,283,False,False,,,
1,284,False,False,,,
1,285,False,False,,,
1,286,False,False,,,
1,287,False,False,,,
1,288,False,False,,,
1,289,False,False,,,
1,290,False,False,,,
1,291,False,False,,,
1,292,False,False,,,
1,293,False,False,,,
1,294,False,False,,,
1,295,False,False,,,
1,296,False,False,,,
1,297,False,False,,,
1,298,False,False,,,
1,299,False,False,,,
1,300,False,False,,,
1,301,False,False,,,
1,302,False,False,,,
1,303,False,False,,,
1,304,False,False,,,
1,305,False,False,,,
1,306,False,False,,,
1,307,False,False,,,
1,308,False,False,,,
1,309,False,False,,,
1,310,False,False,,,
1,311,False,False,,,
1,312,False,False,,,
1,313,False,False,,,
1,314,False,False,,,
